type,id,phase,name_or_scope,wave,status,owner_r,accountable_a,consulted_c,informed_i,dependencies,prd_ids,master_plan_refs,architecture_spot,change_type,reopens_milestone,risk_probability,risk_impact,risk_score,priority,target_window,exit_criteria,evidence,notes
phase,P1,1,Outcome Data & Episodic Memory Infrastructure,,Ready,"AP;MLE",AP,"QA;OBS",GOV,none,"PRD-010;PRD-011",,lib/core/ai,,none,3,4,12,High,,Data integrity + schema/backfill validation green,,
phase,P2,2,Privacy Compliance & Legal Infrastructure,,Ready,SEC,GOV,"AP;REL;QA",ARCH,none,"PRD-010;PRD-011",,lib/core/services/security,,none,4,5,20,Critical,,Security controls + compliance tests + key-rotation drill pass,,
phase,P3,3,World Model State & Action Encoders + List Quantum Entity,,Backlog,"AP;MLE",AP,"QA;REL",GOV,none,"PRD-010;PRD-011",,lib/core/models,,none,3,4,12,High,,Feature freshness + consistency checks pass,,
phase,P4,4,Energy Function & Formula Replacement,,Backlog,MLE,AP,"QA;OBS;REL",GOV,none,"PRD-010;PRD-011",,lib/core/ml,,none,4,5,20,Critical,,Asymmetric-loss regression and safety guardrails pass,,
phase,P5,5,Transition Predictor & On-Device Training,,Backlog,MLE,AP,"QA;OBS",GOV,none,"PRD-010;PRD-011",,lib/core/ml,,none,4,5,20,Critical,,Drift/error bounds + uncertainty calibration pass,,
phase,P6,6,MPC Planner & Autonomous Agent,,Backlog,"AP;MLE",AP,"REL;QA;OBS",GOV,none,"PRD-010;PRD-011",,lib/core/ai,,none,4,5,20,Critical,,Guardrail constraints + planner rollback drills pass,,
phase,P7,7,Orchestrator Restructuring & System Integration,,Ready,"AP;MOB",REL,"QA;OBS;RE",GOV,none,"PRD-010;PRD-011",,lib/core/controllers,,none,5,5,25,Critical,,Trigger reliability + orchestration persistence gates pass,,
phase,P8,8,Ecosystem Intelligence AI2AI World Model,,Backlog,"FED;LOC",AP,"SEC;QA;OBS",GOV,none,"PRD-010;PRD-011",,lib/core/ai2ai,,none,4,5,20,Critical,,Federated cohort no-regression + advisory quarantine pass,,
phase,P9,9,Business Operations & Monetization,,Backlog,"Business Platform;AP",GOV,"SEC;QA",ARCH,none,"PRD-010;PRD-011",,lib/core/services/business,,none,3,4,12,High,,Data-sharing consent + revenue attribution integrity pass,,
phase,P10,10,Feature Completion Codebase Reorganization & Polish,,Ready,"AP;REL",GOV,"QA;RE",ARCH,none,"PRD-010;PRD-011",,lib/_root,,none,4,4,16,High,,Placeholder elimination + reorg import/CI stability pass,,
phase,P11,11,Industry Integrations & Platform Expansion,,Backlog,Integrations Platform,GOV,"SEC;AP;QA",ARCH,none,"PRD-010;PRD-011",,lib/core/cloud,,none,3,5,15,High,,Integration contract/security conformance pass,,
milestone,M0-P2-1,2,Security + cryptographic assurance baseline,0,Ready,SEC,GOV,"AP;REL;QA",ARCH,none,"PRD-020;PRD-021;PRD-022;PRD-033;PRD-034","2.1.1;2.2.1;2.5.1",lib/core/services/security,baseline,none,4,5,20,Critical,parallel baseline,PQ hardening tasks + attestation and kill-switch validation pass,,
milestone,M0-P10-1,10,Production readiness + cleanup enforcement,0,Ready,"AP;REL",GOV,"QA;RE",ARCH,none,"PRD-012;PRD-013;PRD-014;PRD-030;PRD-031;PRD-032;PRD-033;PRD-034","10.9.1;10.9.2;10.9.4",lib/_root,baseline,none,4,4,16,High,parallel baseline,Adaptive-path placeholder gate and CI stability pass,,
milestone,M0-P10-2,10,Reality Engine/Runtime OS/App remap docs + boundary policy package,0,Done,"AP;REL",GOV,"QA;RE;ARCH",ALL,M0-P10-1,"PRD-030;PRD-031;PRD-032;PRD-033;PRD-034","10.8.1;10.8.3;10.10.1;10.10.7",docs/plans/architecture,baseline,none,3,4,12,High,parallel baseline,Canonical remap package published and architecture index references aligned,https://github.com/AVRA-CADAVRA/avrai/pull/172,Initial 3-prong architecture conversion docs landed
milestone,M0-P10-3,10,3-prong split-pass wiring + CI guard/contracts hardening,0,In Progress,"AP;REL",GOV,"QA;RE;ARCH",ALL,M0-P10-2,"PRD-030;PRD-031;PRD-032;PRD-033;PRD-034","10.10.1;10.10.2;10.10.3;10.10.4;10.10.5;10.10.6;10.10.8",lib/_root,baseline,none,4,4,16,High,parallel baseline,Split modules wired with regression tests and 3-prong boundary/capability checks green,https://github.com/AVRA-CADAVRA/avrai/pull/173,Continue decomposition queue after this pass
milestone,M1-P7-1,7,Trigger + orchestration persistence hardening,1,Ready,"AP;MOB",REL,"QA;OBS;RE",GOV,none,"PRD-021;PRD-022;PRD-033;PRD-034","7.4.2;10.9.1;10.9.4",lib/core/controllers,baseline,none,5,5,25,Critical,Week 1-2,Trigger SLOs green and state persistence verified,,
milestone,M1-P7-2,7,Controller/orchestrator integration reliability,1,Done,AP,REL,"QA;OBS",GOV,M1-P7-1,"PRD-021;PRD-022;PRD-033;PRD-034","7.4.3;7.4.4;10.9.4",lib/core/controllers,baseline,none,4,5,20,Critical,Week 2-3,No orchestration dead paths and canary error budget within target,docs/plans/methodology/M1_P7_2_CONTROLLER_ORCHESTRATOR_RELIABILITY_BASELINE.md;configs/runtime/controller_orchestrator_reliability_canary.json;scripts/runtime/generate_controller_orchestrator_reliability_report.py;docs/plans/methodology/MASTER_PLAN_CONTROLLER_ORCHESTRATOR_RELIABILITY_REPORT.json;docs/plans/methodology/MASTER_PLAN_CONTROLLER_ORCHESTRATOR_RELIABILITY_REPORT.md,M1-P7-2 completed with deterministic controller/orchestrator dead-path + canary budget checks
